Year	Format2	Format	Units	Revenue	CPI Adjustment
2008	Total	Total		$5,240,976,265	$7,836,842,132
2007	Digital Downloads	Download Album		$350,958,084	$544,937,825
2007	Digital Downloads	Download Music Video		$20,732,056	$32,190,972
2007	Digital Downloads	Download Single		$594,926,655	$923,751,445
2007	Digital Downloads	Kiosk		$1,659,604	$2,576,892
2007	Digital Downloads	Other Digital		$0	$0
2007	Digital Downloads	Ringtones & Ringbacks		$533,916,935	$829,020,748
2007	Digital Downloads	Total		$1,502,193,335	$2,332,477,882
2007	Physical	8 - Track		$0	$0
2007	Physical	Cassette		$1,641,000	$2,548,005
2007	Physical	Cassette Single		$0	$0
2007	Physical	CD		$4,255,491,531	$6,607,564,845
2007	Physical	CD Single		$5,677,948	$8,816,234
2007	Physical	DVD Audio		$1,530,794	$2,376,886
2007	Physical	LP/EP		$13,889,114	$21,565,833
2007	Physical	Music Video (Physical)		$285,802,867	$443,770,352
2007	Physical	Other Physical		$0	$0
2007	Physical	Other Tapes		$0	$0
2007	Physical	SACD		$2,007,725	$3,117,424
2007	Physical	Vinyl Single		$2,120,244	$3,292,135
2007	Physical	Total		$4,568,161,222	$7,093,051,714
2007	Streaming	Free Streaming		$0	$0
2007	Streaming	Other Streaming		$36,200,000	$56,208,277
2007	Streaming	Paid Subscriptions (Non-Premium)		$0	$0
2007	Streaming	Paid Subscriptions (Premium)		$116,999,999	$181,667,634
2007	Streaming	Total		$153,199,999	$237,875,911
2007	Synchronization	Synchronization		$0	$0
2007	Synchronization	Total		$0	$0
2007	Total	Total		$6,223,554,556	$9,663,405,506
2006	Digital Downloads	Download Album		$194,670,960	$310,877,742
2006	Digital Downloads	Download Music Video		$14,483,032	$23,128,526
2006	Digital Downloads	Download Single		$425,911,734	$680,155,264
2006	Digital Downloads	Kiosk		$1,212,788	$1,936,749
2006	Digital Downloads	Other Digital		$0	$0
2006	Digital Downloads	Ringtones & Ringbacks		$391,309,836	$624,898,127
2006	Digital Downloads	Total		$1,027,588,349	$1,640,996,408
2006	Physical	8 - Track		$0	$0
2006	Physical	Cassette		$2,023,900	$3,232,046
2006	Physical	Cassette Single		$0	$0
2006	Physical	CD		$5,352,041,642	$8,546,886,618
2006	Physical	CD Single		$3,583,623	$5,722,829
2006	Physical	DVD Audio		$1,312,109	$2,095,358
2006	Physical	LP/EP		$9,522,231	$15,206,426
2006	Physical	Music Video (Physical)		$265,880,951	$424,595,789
2006	Physical	Other Physical		$0	$0
2006	Physical	Other Tapes		$0	$0
2006	Physical	SACD		$3,067,357	$4,898,384
2006	Physical	Vinyl Single		$5,247,605	$8,380,107
2006	Physical	Total		$5,642,679,417	$9,011,017,557
2006	Streaming	Free Streaming		$0	$0
2006	Streaming	Other Streaming		$32,800,000	$52,379,615
2006	Streaming	Paid Subscriptions (Non-Premium)		$0	$0
2006	Streaming	Paid Subscriptions (Premium)		$103,099,999	$164,644,459
2006	Streaming	Total		$135,899,999	$217,024,074
2006	Synchronization	Synchronization		$0	$0
2006	Synchronization	Total		$0	$0
2006	Total	Total		$6,806,167,765	$10,869,038,040
2005	Digital Downloads	Download Album		$95,747,913	$157,835,998
2005	Digital Downloads	Download Music Video		$2,720,163	$4,484,063
2005	Digital Downloads	Download Single		$266,506,602	$439,323,783
2005	Digital Downloads	Kiosk		$638,309	$1,052,223
2005	Digital Downloads	Other Digital		$0	$0
2005	Digital Downloads	Ringtones & Ringbacks		$213,202,671	$351,454,723
2005	Digital Downloads	Total		$578,815,658	$954,150,791
2005	Physical	8 - Track		$0	$0
2005	Physical	Cassette		$7,165,700	$11,812,324
2005	Physical	Cassette Single		$0	$0
2005	Physical	CD		$6,007,356,388	$9,902,848,630
2005	Physical	CD Single		$5,072,921	$8,362,475
2005	Physical	DVD Audio		$6,123,174	$10,093,769
2005	Physical	LP/EP		$8,612,464	$14,197,247
2005	Physical	Music Video (Physical)		$354,940,165	$585,102,415
2005	Physical	Other Physical		$0	$0
2005	Physical	Other Tapes		$0	$0
2005	Physical	SACD		$5,577,013	$9,193,448
2005	Physical	Vinyl Single		$6,996,806	$11,533,911
2005	Physical	Total		$6,401,844,631	$10,553,144,220
2005	Streaming	Free Streaming		$0	$0
2005	Streaming	Other Streaming		$20,400,000	$33,628,455
2005	Streaming	Paid Subscriptions (Non-Premium)		$0	$0
2005	Streaming	Paid Subscriptions (Premium)		$74,599,999	$122,974,642
2005	Streaming	Total		$94,999,999	$156,603,096
2005	Synchronization	Synchronization		$0	$0
2005	Synchronization	Total		$0	$0
2005	Total	Total		$7,075,660,289	$11,663,898,107
2004	Digital Downloads	Download Album		$32,104,127	$54,715,188
2004	Digital Downloads	Download Music Video		$0	$0
2004	Digital Downloads	Download Single		$101,232,896	$172,531,615
2004	Digital Downloads	Kiosk		$0	$0
2004	Digital Downloads	Other Digital		$0	$0
2004	Digital Downloads	Ringtones & Ringbacks		$0	$0
2004	Digital Downloads	Total		$133,337,023	$227,246,803
2004	Physical	8 - Track		$0	$0
2004	Physical	Cassette		$12,963,900	$22,094,425
2004	Physical	Cassette Single		$0	$0
2004	Physical	CD		$6,536,302,056	$11,139,844,854
2004	Physical	CD Single		$6,981,084	$11,897,888
2004	Physical	DVD Audio		$3,553,628	$6,056,462
2004	Physical	LP/EP		$11,705,672	$19,950,022
2004	Physical	Music Video (Physical)		$357,887,194	$609,948,528
2004	Physical	Other Physical		$0	$0
2004	Physical	Other Tapes		$0	$0
2004	Physical	SACD		$9,257,842	$15,778,175
2004	Physical	Vinyl Single		$10,548,215	$17,977,364
2004	Physical	Total		$6,949,199,592	$11,843,547,719
2004	Streaming	Free Streaming		$0	$0
2004	Streaming	Other Streaming		$6,900,000	$11,759,697
2004	Streaming	Paid Subscriptions (Non-Premium)		$0	$0
2004	Streaming	Paid Subscriptions (Premium)		$0	$0
2004	Streaming	Total		$6,900,000	$11,759,697
2004	Synchronization	Synchronization		$0	$0
2004	Synchronization	Total		$0	$0
2004	Total	Total		$7,089,436,614	$12,082,554,219
2003	Digital Downloads	Download Album		$0	$0
2003	Digital Downloads	Download Music Video		$0	$0
2003	Digital Downloads	Download Single		$0	$0
2003	Digital Downloads	Kiosk		$0	$0
2003	Digital Downloads	Other Digital		$0	$0
2003	Digital Downloads	Ringtones & Ringbacks		$0	$0
2003	Digital Downloads	Total		$0	$0
2003	Physical	8 - Track		$0	$0
2003	Physical	Cassette		$59,130,700	$103,460,407
2003	Physical	Cassette Single		$0	$0
2003	Physical	CD		$6,414,329,915	$11,223,090,303
2003	Physical	CD Single		$16,754,601	$29,315,361
2003	Physical	DVD Audio		$4,373,696	$7,652,613
2003	Physical	LP/EP		$13,161,300	$23,028,198
2003	Physical	Music Video (Physical)		$235,703,375	$412,407,889
2003	Physical	Other Physical		$0	$0
2003	Physical	Other Tapes		$0	$0
2003	Physical	SACD		$14,667,544	$25,663,659
2003	Physical	Vinyl Single		$11,396,313	$19,940,017
2003	Physical	Total		$6,769,517,443	$11,844,558,447
2003	Streaming	Free Streaming		$0	$0
2003	Streaming	Other Streaming		$0	$0
2003	Streaming	Paid Subscriptions (Non-Premium)		$0	$0
2003	Streaming	Paid Subscriptions (Premium)		$0	$0
2003	Streaming	Total		$0	$0
2003	Synchronization	Synchronization		$0	$0
2003	Synchronization	Total		$0	$0
2003	Total	Total		$6,769,517,443	$11,844,558,447
2002	Digital Downloads	Download Album		$0	$0
2002	Digital Downloads	Download Music Video		$0	$0
2002	Digital Downloads	Download Single		$0	$0
2002	Digital Downloads	Kiosk		$0	$0
2002	Digital Downloads	Other Digital		$0	$0
2002	Digital Downloads	Ringtones & Ringbacks		$0	$0
2002	Digital Downloads	Total		$0	$0
2002	Physical	8 - Track		$0	$0
2002	Physical	Cassette		$114,760,600	$205,371,717
2002	Physical	Cassette Single		($875,200)	($1,566,229)
2002	Physical	CD		$6,877,549,958	$12,307,832,497
2002	Physical	CD Single		$9,121,949	$16,324,334
2002	Physical	DVD Audio		$4,647,052	$8,316,208
2002	Physical	LP/EP		$12,433,486	$22,250,549
2002	Physical	Music Video (Physical)		$169,984,629	$304,198,785
2002	Physical	Other Physical		$0	$0
2002	Physical	Other Tapes		$0	$0
2002	Physical	SACD		$0	$0
2002	Physical	Vinyl Single		$13,198,521	$23,619,629
2002	Physical	Total		$7,200,820,995	$12,886,347,492
2002	Streaming	Free Streaming		$0	$0
2002	Streaming	Other Streaming		$0	$0
2002	Streaming	Paid Subscriptions (Non-Premium)		$0	$0
2002	Streaming	Paid Subscriptions (Premium)		$0	$0
2002	Streaming	Total		$0	$0
2002	Synchronization	Synchronization		$0	$0
2002	Synchronization	Total		$0	$0
2002	Total	Total		$7,200,820,995	$12,886,347,492
2001	Digital Downloads	Download Album		$0	$0
2001	Digital Downloads	Download Music Video		$0	$0
2001	Digital Downloads	Download Single		$0	$0
2001	Digital Downloads	Kiosk		$0	$0
2001	Digital Downloads	Other Digital		$0	$0
2001	Digital Downloads	Ringtones & Ringbacks		$0	$0
2001	Digital Downloads	Total		$0	$0
2001	Physical	8 - Track		$0	$0
2001	Physical	Cassette		$198,779,800	$361,353,840
2001	Physical	Cassette Single		($2,899,100)	($5,270,158)
2001	Physical	CD		$7,371,662,758	$13,400,650,612
2001	Physical	CD Single		$36,953,203	$67,175,749
2001	Physical	DVD Audio		$3,280,272	$5,963,075
2001	Physical	LP/EP		$16,618,416	$30,209,952
2001	Physical	Music Video (Physical)		$194,032,385	$352,723,706
2001	Physical	Other Physical		$0	$0
2001	Physical	Other Tapes		$0	$0
2001	Physical	SACD		$0	$0
2001	Physical	Vinyl Single		$16,643,918	$30,256,311
2001	Physical	Total		$7,835,071,652	$14,243,063,088
2001	Streaming	Free Streaming		$0	$0
2001	Streaming	Other Streaming		$0	$0
2001	Streaming	Paid Subscriptions (Non-Premium)		$0	$0
2001	Streaming	Paid Subscriptions (Premium)		$0	$0
2001	Streaming	Total		$0	$0
2001	Synchronization	Synchronization		$0	$0
2001	Synchronization	Total		$0	$0
2001	Total	Total		$7,835,071,652	$14,243,063,088
2000	Digital Downloads	Download Album		$0	$0
2000	Digital Downloads	Download Music Video		$0	$0
2000	Digital Downloads	Download Single		$0	$0
2000	Digital Downloads	Kiosk		$0	$0
2000	Digital Downloads	Other Digital		$0	$0
2000	Digital Downloads	Ringtones & Ringbacks		$0	$0
2000	Digital Downloads	Total		$0	$0
2000	Physical	8 - Track		$0	$0
2000	Physical	Cassette		$342,422,000	$640,187,956
2000	Physical	Cassette Single		$2,516,200	$4,704,257
2000	Physical	CD		$7,545,884,202	$14,107,692,205
2000	Physical	CD Single		$66,413,376	$124,165,631
2000	Physical	DVD Audio		$0	$0
2000	Physical	LP/EP		$16,800,369	$31,409,763
2000	Physical	Music Video (Physical)		$166,153,492	$310,638,522
2000	Physical	Other Physical		$0	$0
2000	Physical	Other Tapes		$0	$0
2000	Physical	SACD		$0	$0
2000	Physical	Vinyl Single		$13,940,606	$26,063,186
2000	Physical	Total		$8,154,130,246	$15,244,861,519
2000	Streaming	Free Streaming		$0	$0
2000	Streaming	Other Streaming		$0	$0
2000	Streaming	Paid Subscriptions (Non-Premium)		$0	$0
2000	Streaming	Paid Subscriptions (Premium)		$0	$0
2000	Streaming	Total		$0	$0
2000	Synchronization	Synchronization		$0	$0
2000	Synchronization	Total		$0	$0
2000	Total	Total		$8,154,130,246	$15,244,861,519
1999	Digital Downloads	Download Album		$0	$0
1999	Digital Downloads	Download Music Video		$0	$0
1999	Digital Downloads	Download Single		$0	$0
1999	Digital Downloads	Kiosk		$0	$0
1999	Digital Downloads	Other Digital		$0	$0
1999	Digital Downloads	Ringtones & Ringbacks		$0	$0
1999	Digital Downloads	Total		$0	$0
1999	Physical	8 - Track		$0	$0
1999	Physical	Cassette		$580,695,200	$1,122,153,390
1999	Physical	Cassette Single		$26,256,000	$50,737,908
1999	Physical	CD		$7,318,499,807	$14,142,495,699
1999	Physical	CD Single		$103,506,201	$200,018,589
1999	Physical	DVD Audio		$0	$0
1999	Physical	LP/EP		$19,287,066	$37,270,924
1999	Physical	Music Video (Physical)		$222,029,160	$429,056,026
1999	Physical	Other Physical		$0	$0
1999	Physical	Other Tapes		$0	$0
1999	Physical	SACD		$0	$0
1999	Physical	Vinyl Single		$14,788,704	$28,578,149
1999	Physical	Total		$8,285,062,139	$16,010,310,685
1999	Streaming	Free Streaming		$0	$0
1999	Streaming	Other Streaming		$0	$0
1999	Streaming	Paid Subscriptions (Non-Premium)		$0	$0
1999	Streaming	Paid Subscriptions (Premium)		$0	$0
1999	Streaming	Total		$0	$0
1999	Synchronization	Synchronization		$0	$0
1999	Synchronization	Total		$0	$0
1999	Total	Total		$8,285,062,139	$16,010,310,685
1998	Digital Downloads	Download Album		$0	$0
1998	Digital Downloads	Download Music Video		$0	$0
1998	Digital Downloads	Download Single		$0	$0
1998	Digital Downloads	Kiosk		$0	$0
1998	Digital Downloads	Other Digital		$0	$0
1998	Digital Downloads	Ringtones & Ringbacks		$0	$0
1998	Digital Downloads	Total		$0	$0
1998	Physical	8 - Track		$0	$0
1998	Physical	Cassette		$776,685,300	$1,534,039,236
1998	Physical	Cassette Single		$51,636,800	$101,988,382
1998	Physical	CD		$6,518,885,622	$12,875,518,981
1998	Physical	CD Single		$99,224,470	$195,979,285
1998	Physical	DVD Audio		$0	$0
1998	Physical	LP/EP		$20,621,392	$40,729,526
1998	Physical	Music Video (Physical)		$299,418,140	$591,383,892
1998	Physical	Other Physical		$0	$0
1998	Physical	Other Tapes		$0	$0
1998	Physical	SACD		$0	$0
1998	Physical	Vinyl Single		$13,622,570	$26,906,079
1998	Physical	Total		$7,780,094,293	$15,366,545,381
1998	Streaming	Free Streaming		$0	$0
1998	Streaming	Other Streaming		$0	$0
1998	Streaming	Paid Subscriptions (Non-Premium)		$0	$0
1998	Streaming	Paid Subscriptions (Premium)		$0	$0
1998	Streaming	Total		$0	$0
1998	Synchronization	Synchronization		$0	$0
1998	Synchronization	Total		$0	$0
1998	Total	Total		$7,780,094,293	$15,366,545,381
1997	Digital Downloads	Download Album		$0	$0
1997	Digital Downloads	Download Music Video		$0	$0
1997	Digital Downloads	Download Single		$0	$0
1997	Digital Downloads	Kiosk		$0	$0
1997	Digital Downloads	Other Digital		$0	$0
1997	Digital Downloads	Ringtones & Ringbacks		$0	$0
1997	Digital Downloads	Total		$0	$0
1997	Physical	8 - Track		$0	$0
1997	Physical	Cassette		$832,916,900	$1,670,727,511
1997	Physical	Cassette Single		$73,024,500	$146,478,047
1997	Physical	CD		$5,661,825,756	$11,356,916,943
1997	Physical	CD Single		$126,916,102	$254,577,886
1997	Physical	DVD Audio		$0	$0
1997	Physical	LP/EP		$20,196,834	$40,512,331
1997	Physical	Music Video (Physical)		$190,908,535	$382,938,731
1997	Physical	Other Physical		$0	$0
1997	Physical	Other Tapes		$0	$0
1997	Physical	SACD		$0	$0
1997	Physical	Vinyl Single		$18,870,174	$37,851,218
1997	Physical	Total		$6,924,658,800	$13,890,002,668
1997	Streaming	Free Streaming		$0	$0
1997	Streaming	Other Streaming		$0	$0
1997	Streaming	Paid Subscriptions (Non-Premium)		$0	$0
1997	Streaming	Paid Subscriptions (Premium)		$0	$0
1997	Streaming	Total		$0	$0
1997	Synchronization	Synchronization		$0	$0
1997	Synchronization	Total		$0	$0
1997	Total	Total		$6,924,658,800	$13,890,002,668
1996	Digital Downloads	Download Album		$0	$0
1996	Digital Downloads	Download Music Video		$0	$0
1996	Digital Downloads	Download Single		$0	$0
1996	Digital Downloads	Kiosk		$0	$0
1996	Digital Downloads	Other Digital		$0	$0
1996	Digital Downloads	Ringtones & Ringbacks		$0	$0
1996	Digital Downloads	Total		$0	$0
1996	Physical	8 - Track		$0	$0
1996	Physical	Cassette		$1,042,199,100	$2,138,487,603
1996	Physical	Cassette Single		$103,547,100	$212,468,222
1996	Physical	CD		$5,673,017,956	$11,640,461,567
1996	Physical	CD Single		$85,681,168	$175,809,128
1996	Physical	DVD Audio		$0	$0
1996	Physical	LP/EP		$22,319,624	$45,797,620
1996	Physical	Music Video (Physical)		$139,158,707	$285,539,652
1996	Physical	Other Physical		$0	$0
1996	Physical	Other Tapes		$0	$0
1996	Physical	SACD		$0	$0
1996	Physical	Vinyl Single		$25,177,901	$51,662,517
1996	Physical	Total		$7,091,101,555	$14,550,226,309
1996	Streaming	Free Streaming		$0	$0
1996	Streaming	Other Streaming		$0	$0
1996	Streaming	Paid Subscriptions (Non-Premium)		$0	$0
1996	Streaming	Paid Subscriptions (Premium)		$0	$0
1996	Streaming	Total		$0	$0
1996	Synchronization	Synchronization		$0	$0
1996	Synchronization	Total		$0	$0
1996	Total	Total		$7,091,101,555	$14,550,226,309
1995	Digital Downloads	Download Album		$0	$0
1995	Digital Downloads	Download Music Video		$0	$0
1995	Digital Downloads	Download Single		$0	$0
1995	Digital Downloads	Kiosk		$0	$0
1995	Digital Downloads	Other Digital		$0	$0
1995	Digital Downloads	Ringtones & Ringbacks		$0	$0
1995	Digital Downloads	Total		$0	$0
1995	Physical	8 - Track		$0	$0
1995	Physical	Cassette		$1,260,069,200	$2,661,879,649
1995	Physical	Cassette Single		$129,256,100	$273,051,815
1995	Physical	CD		$5,354,782,589	$11,311,907,946
1995	Physical	CD Single		$51,613,479	$109,032,797
1995	Physical	DVD Audio		$0	$0
1995	Physical	LP/EP		$15,223,439	$32,159,315
1995	Physical	Music Video (Physical)		$129,846,095	$274,298,172
1995	Physical	Other Physical		$0	$0
1995	Physical	Other Tapes		$0	$0
1995	Physical	SACD		$0	$0
1995	Physical	Vinyl Single		$24,753,852	$52,292,187
1995	Physical	Total		$6,965,544,754	$14,714,621,881
1995	Streaming	Free Streaming		$0	$0
1995	Streaming	Other Streaming		$0	$0
1995	Streaming	Paid Subscriptions (Non-Premium)		$0	$0
1995	Streaming	Paid Subscriptions (Premium)		$0	$0
1995	Streaming	Total		$0	$0
1995	Synchronization	Synchronization		$0	$0
1995	Synchronization	Total		$0	$0
1995	Total	Total		$6,965,544,754	$14,714,621,881
1994	Digital Downloads	Download Album		$0	$0
1994	Digital Downloads	Download Music Video		$0	$0
1994	Digital Downloads	Download Single		$0	$0
1994	Digital Downloads	Kiosk		$0	$0
1994	Digital Downloads	Other Digital		$0	$0
1994	Digital Downloads	Ringtones & Ringbacks		$0	$0
1994	Digital Downloads	Total		$0	$0
1994	Physical	8 - Track		$0	$0
1994	Physical	Cassette		$1,628,090,800	$3,536,791,069
1994	Physical	Cassette Single		$150,370,300	$326,657,662
1994	Physical	CD		$4,833,488,731	$10,500,053,053
1994	Physical	CD Single		$26,109,253	$56,718,565
1994	Physical	DVD Audio		$0	$0
1994	Physical	LP/EP		$10,795,905	$23,452,537
1994	Physical	Music Video (Physical)		$136,211,678	$295,900,109
1994	Physical	Other Physical		$0	$0
1994	Physical	Other Tapes		$0	$0
1994	Physical	SACD		$0	$0
1994	Physical	Vinyl Single		$25,018,883	$54,349,893
1994	Physical	Total		$6,810,085,549	$14,793,922,887
1994	Streaming	Free Streaming		$0	$0
1994	Streaming	Other Streaming		$0	$0
1994	Streaming	Paid Subscriptions (Non-Premium)		$0	$0
1994	Streaming	Paid Subscriptions (Premium)		$0	$0
1994	Streaming	Total		$0	$0
1994	Synchronization	Synchronization		$0	$0
1994	Synchronization	Total		$0	$0
1994	Total	Total		$6,810,085,549	$14,793,922,887
1993	Digital Downloads	Download Album		$0	$0
1993	Digital Downloads	Download Music Video		$0	$0
1993	Digital Downloads	Download Single		$0	$0
1993	Digital Downloads	Kiosk		$0	$0
1993	Digital Downloads	Other Digital		$0	$0
1993	Digital Downloads	Ringtones & Ringbacks		$0	$0
1993	Digital Downloads	Total		$0	$0
1993	Physical	8 - Track		$0	$0
1993	Physical	Cassette		$1,594,942,600	$3,553,499,000
1993	Physical	Cassette Single		$163,279,500	$363,783,336
1993	Physical	CD		$3,718,208,816	$8,284,092,047
1993	Physical	CD Single		$21,315,576	$47,490,660
1993	Physical	DVD Audio		$0	$0
1993	Physical	LP/EP		$6,429,022	$14,323,728
1993	Physical	Music Video (Physical)		$125,720,255	$280,102,117
1993	Physical	Other Physical		$0	$0
1993	Physical	Other Tapes		$0	$0
1993	Physical	SACD		$0	$0
1993	Physical	Vinyl Single		$27,139,127	$60,465,411
1993	Physical	Total		$5,657,034,895	$12,603,756,298
1993	Streaming	Free Streaming		$0	$0
1993	Streaming	Other Streaming		$0	$0
1993	Streaming	Paid Subscriptions (Non-Premium)		$0	$0
1993	Streaming	Paid Subscriptions (Premium)		$0	$0
1993	Streaming	Total		$0	$0
1993	Synchronization	Synchronization		$0	$0
1993	Synchronization	Total		$0	$0
1993	Total	Total		$5,657,034,895	$12,603,756,298
1992	Digital Downloads	Download Album		$0	$0
1992	Digital Downloads	Download Music Video		$0	$0
1992	Digital Downloads	Download Single		$0	$0
1992	Digital Downloads	Kiosk		$0	$0
1992	Digital Downloads	Other Digital		$0	$0
1992	Digital Downloads	Ringtones & Ringbacks		$0	$0
1992	Digital Downloads	Total		$0	$0
1992	Physical	8 - Track		$0	$0
1992	Physical	Cassette		$1,704,616,100	$3,911,541,134
1992	Physical	Cassette Single		$163,443,600	$375,050,056
1992	Physical	CD		$3,041,594,627	$6,979,473,265
1992	Physical	CD Single		$20,989,792	$48,164,765
1992	Physical	DVD Audio		$0	$0
1992	Physical	LP/EP		$8,187,905	$18,788,588
1992	Physical	Music Video (Physical)		$92,772,471	$212,882,734
1992	Physical	Other Physical		$0	$0
1992	Physical	Other Tapes		$0	$0
1992	Physical	SACD		$0	$0
1992	Physical	Vinyl Single		$35,196,055	$80,763,532
1992	Physical	Total		$5,066,800,551	$11,626,664,075
1992	Streaming	Free Streaming		$0	$0
1992	Streaming	Other Streaming		$0	$0
1992	Streaming	Paid Subscriptions (Non-Premium)		$0	$0
1992	Streaming	Paid Subscriptions (Premium)		$0	$0
1992	Streaming	Total		$0	$0
1992	Synchronization	Synchronization		$0	$0
1992	Synchronization	Total		$0	$0
1992	Total	Total		$5,066,800,551	$11,626,664,075
1991	Digital Downloads	Download Album		$0	$0
1991	Digital Downloads	Download Music Video		$0	$0
1991	Digital Downloads	Download Single		$0	$0
1991	Digital Downloads	Kiosk		$0	$0
1991	Digital Downloads	Other Digital		$0	$0
1991	Digital Downloads	Ringtones & Ringbacks		$0	$0
1991	Digital Downloads	Total		$0	$0
1991	Physical	8 - Track		$0	$0
1991	Physical	Cassette		$1,651,721,200	$3,904,259,018
1991	Physical	Cassette Single		$126,028,800	$297,900,807
1991	Physical	CD		$2,476,959,545	$5,854,917,670
1991	Physical	CD Single		$16,335,736	$38,613,626
1991	Physical	DVD Audio		$0	$0
1991	Physical	LP/EP		$17,831,439	$42,149,096
1991	Physical	Music Video (Physical)		$69,608,824	$164,537,984
1991	Physical	Other Physical		$0	$0
1991	Physical	Other Tapes		$0	$0
1991	Physical	SACD		$0	$0
1991	Physical	Vinyl Single		$33,870,902	$80,062,408
1991	Physical	Total		$4,392,356,445	$10,382,440,610
1991	Streaming	Free Streaming		$0	$0
1991	Streaming	Other Streaming		$0	$0
1991	Streaming	Paid Subscriptions (Non-Premium)		$0	$0
1991	Streaming	Paid Subscriptions (Premium)		$0	$0
1991	Streaming	Total		$0	$0
1991	Synchronization	Synchronization		$0	$0
1991	Synchronization	Total		$0	$0
1991	Total	Total		$4,392,356,445	$10,382,440,610
1990	Digital Downloads	Download Album		$0	$0
1990	Digital Downloads	Download Music Video		$0	$0
1990	Digital Downloads	Download Single		$0	$0
1990	Digital Downloads	Kiosk		$0	$0
1990	Digital Downloads	Other Digital		$0	$0
1990	Digital Downloads	Ringtones & Ringbacks		$0	$0
1990	Digital Downloads	Total		$0	$0
1990	Physical	8 - Track		$0	$0
1990	Physical	Cassette		$1,899,402,800	$4,678,649,087
1990	Physical	Cassette Single		$141,071,300	$347,489,805
1990	Physical	CD		$1,970,969,307	$4,854,933,219
1990	Physical	CD Single		$2,792,433	$6,878,381
1990	Physical	DVD Audio		$0	$0
1990	Physical	LP/EP		$52,463,246	$129,228,576
1990	Physical	Music Video (Physical)		$101,554,617	$250,151,478
1990	Physical	Other Physical		$0	$0
1990	Physical	Other Tapes		$0	$0
1990	Physical	SACD		$0	$0
1990	Physical	Vinyl Single		$50,037,765	$123,254,079
1990	Physical	Total		$4,218,291,469	$10,390,584,625
1990	Streaming	Free Streaming		$0	$0
1990	Streaming	Other Streaming		$0	$0
1990	Streaming	Paid Subscriptions (Non-Premium)		$0	$0
1990	Streaming	Paid Subscriptions (Premium)		$0	$0
1990	Streaming	Total		$0	$0
1990	Synchronization	Synchronization		$0	$0
1990	Synchronization	Total		$0	$0
1990	Total	Total		$4,218,291,469	$10,390,584,625
1989	Digital Downloads	Download Album		$0	$0
1989	Digital Downloads	Download Music Video		$0	$0
1989	Digital Downloads	Download Single		$0	$0
1989	Digital Downloads	Kiosk		$0	$0
1989	Digital Downloads	Other Digital		$0	$0
1989	Digital Downloads	Ringtones & Ringbacks		$0	$0
1989	Digital Downloads	Total		$0	$0
1989	Physical	8 - Track		$0	$0
1989	Physical	Cassette		$1,830,152,600	$4,751,651,762
1989	Physical	Cassette Single		$106,446,200	$276,367,814
1989	Physical	CD		$1,477,655,950	$3,836,459,593
1989	Physical	CD Single		($325,784)	($845,837)
1989	Physical	DVD Audio		$0	$0
1989	Physical	LP/EP		$133,614,487	$346,905,232
1989	Physical	Music Video (Physical)		$68,017,428	$176,594,635
1989	Physical	Other Physical		$0	$0
1989	Physical	Other Tapes		$0	$0
1989	Physical	SACD		$0	$0
1989	Physical	Vinyl Single		$61,699,109	$160,190,291
1989	Physical	Total		$3,677,259,990	$9,547,323,491
1989	Streaming	Free Streaming		$0	$0
1989	Streaming	Other Streaming		$0	$0
1989	Streaming	Paid Subscriptions (Non-Premium)		$0	$0
1989	Streaming	Paid Subscriptions (Premium)		$0	$0
1989	Streaming	Total		$0	$0
1989	Synchronization	Synchronization		$0	$0
1989	Synchronization	Total		$0	$0
1989	Total	Total		$3,677,259,990	$9,547,323,491
1988	Digital Downloads	Download Album		$0	$0
1988	Digital Downloads	Download Music Video		$0	$0
1988	Digital Downloads	Download Single		$0	$0
1988	Digital Downloads	Kiosk		$0	$0
1988	Digital Downloads	Other Digital		$0	$0
1988	Digital Downloads	Ringtones & Ringbacks		$0	$0
1988	Digital Downloads	Total		$0	$0
1988	Physical	8 - Track		$0	$0
1988	Physical	Cassette		$1,851,649,700	$5,039,101,094
1988	Physical	Cassette Single		$31,343,100	$85,297,478
1988	Physical	CD		$1,193,396,904	$3,247,724,257
1988	Physical	CD Single		$4,560,975	$12,412,290
1988	Physical	DVD Audio		$0	$0
1988	Physical	LP/EP		$322,785,429	$878,432,032
1988	Physical	Music Video (Physical)		$0	$0
1988	Physical	Other Physical		$0	$0
1988	Physical	Other Tapes		$0	$0
1988	Physical	SACD		$0	$0
1988	Physical	Vinyl Single		$95,623,017	$260,229,594
1988	Physical	Total		$3,499,359,125	$9,523,196,745
1988	Streaming	Free Streaming		$0	$0
1988	Streaming	Other Streaming		$0	$0
1988	Streaming	Paid Subscriptions (Non-Premium)		$0	$0
1988	Streaming	Paid Subscriptions (Premium)		$0	$0
1988	Streaming	Total		$0	$0
1988	Synchronization	Synchronization		$0	$0
1988	Synchronization	Total		$0	$0
1988	Total	Total		$3,499,359,125	$9,523,196,745
1987	Digital Downloads	Download Album		$0	$0
1987	Digital Downloads	Download Music Video		$0	$0
1987	Digital Downloads	Download Single		$0	$0
1987	Digital Downloads	Kiosk		$0	$0
1987	Digital Downloads	Other Digital		$0	$0
1987	Digital Downloads	Ringtones & Ringbacks		$0	$0
1987	Digital Downloads	Total		$0	$0
1987	Physical	8 - Track		$0	$0
1987	Physical	Cassette		$1,618,955,900	$4,588,129,571
