Year	Format2	Format	Units	Revenue	CPI Adjustment
2022	Physical	Vinyl Single		$3,777,913	$4,155,995
2022	Physical	Total		$1,085,941,621	$1,194,619,273
2022	Streaming	Free Streaming		$1,822,134,523	$2,004,488,065
2022	Streaming	Other Streaming		$1,220,882,777	$1,343,064,919
2022	Streaming	Paid Subscriptions (Non-Premium)		$570,477,823	$627,569,465
2022	Streaming	Paid Subscriptions (Premium)		$4,864,877,928	$5,351,739,744
2022	Streaming	Total		$8,478,373,051	$9,326,862,194
2022	Synchronization	Synchronization		$382,500,721	$420,780,201
2022	Synchronization	Total		$382,500,721	$420,780,201
2022	Total	Total		$10,299,112,200	$11,329,815,240
2021	Digital Downloads	Download Album		$218,353,140	$259,428,220
2021	Digital Downloads	Download Music Video		$1,880,406	$2,234,135
2021	Digital Downloads	Download Single		$191,364,449	$227,362,604
2021	Digital Downloads	Kiosk		$433,244	$514,743
2021	Digital Downloads	Other Digital		$31,104,152	$36,955,250
2021	Digital Downloads	Ringtones & Ringbacks		$6,861,962	$8,152,787
2021	Digital Downloads	Total		$449,997,353	$534,647,739
2021	Physical	8 - Track		$0	$0
2021	Physical	Cassette		$0	$0
2021	Physical	Cassette Single		$0	$0
2021	Physical	CD		$337,440,259	$400,917,184
2021	Physical	CD Single		$44,104	$52,401
2021	Physical	DVD Audio		$3,192,148	$3,792,633
2021	Physical	LP/EP		$679,411,527	$807,217,719
2021	Physical	Music Video (Physical)		$10,915,706	$12,969,093
2021	Physical	Other Physical		$0	$0
2021	Physical	Other Tapes		$0	$0
2021	Physical	SACD		$111,198	$132,116
2021	Physical	Vinyl Single		$5,055,512	$6,006,520
2021	Physical	Total		$1,036,170,454	$1,231,087,665
2021	Streaming	Free Streaming		$1,733,405,320	$2,059,481,525
2021	Streaming	Other Streaming		$1,195,999,034	$1,420,982,090
2021	Streaming	Paid Subscriptions (Non-Premium)		$491,390,895	$583,827,948
2021	Streaming	Paid Subscriptions (Premium)		$4,623,927,488	$5,493,748,708
2021	Streaming	Total		$8,044,722,738	$9,558,040,271
